unitid,efalevel,line,section,lstudy,eftotlt
101480,22,8,1,1,6497
101480,23,6,1,1,6327
101480,24,1,1,1,1798
101480,25,99,1,1,4529
101480,31,7,1,1,170
101480,32,11,1,3,463
101480,39,2,1,1,390
101480,40,3,1,1,4139
101480,41,28,2,4,2712
101480,42,22,2,1,1881
101480,43,20,2,1,703
101480,44,15,2,1,17
101480,45,99,2,1,686
101480,51,21,2,1,1178
101480,52,25,2,3,831
101480,59,16,2,1,86
101480,60,17,2,1,600
101505,1,29,3,4,8839
101505,2,99,3,1,8839
101505,3,99,3,1,5443
101505,4,99,3,1,1332
101505,5,99,3,1,4111
101505,11,99,3,1,3396
101505,19,99,3,1,741
101505,20,99,3,1,3370
101505,21,14,1,4,2087
101505,22,8,1,1,2087
101505,23,6,1,1,2033
101505,24,1,1,1,789
101505,25,99,1,1,1244
101505,31,7,1,1,54
101505,39,2,1,1,246
101505,40,3,1,1,998
101505,41,28,2,4,6752
101505,42,22,2,1,6752
101505,43,20,2,1,3410
101505,44,15,2,1,543
101505,45,99,2,1,2867
101505,51,21,2,1,3342
101505,59,16,2,1,495
101505,60,17,2,1,2372
101514,1,29,3,4,8736
101514,2,99,3,1,8736
101514,3,99,3,1,6928
101514,4,99,3,1,1775
101514,5,99,3,1,5153
101514,11,99,3,1,1808
101514,19,99,3,1,624
101514,20,99,3,1,4529
101514,21,14,1,4,3038
101514,22,8,1,1,3038
101514,23,6,1,1,3011
101514,24,1,1,1,1175
101514,25,99,1,1,1836
101514,31,7,1,1,27
101514,39,2,1,1,278
101514,40,3,1,1,1558
101514,41,28,2,4,5698
101514,42,22,2,1,5698
101514,43,20,2,1,3917
101514,44,15,2,1,600
101514,45,99,2,1,3317
101514,51,21,2,1,1781
101514,59,16,2,1,346
101514,60,17,2,1,2971
101569,1,29,3,4,3153
101569,2,99,3,1,3153
101569,3,99,3,1,2720
101569,4,99,3,1,735
101569,5,99,3,1,1985
101569,11,99,3,1,433
101569,19,99,3,1,338
101569,20,99,3,1,1647
101569,21,14,1,4,1111
101569,22,8,1,1,1111
101569,23,6,1,1,1106
101569,24,1,1,1,412
101569,25,99,1,1,694
101569,31,7,1,1,5
101569,39,2,1,1,147
101569,40,3,1,1,547
101569,41,28,2,4,2042
101569,42,22,2,1,2042
101569,43,20,2,1,1614
101569,44,15,2,1,323
101569,45,99,2,1,1291
101569,51,21,2,1,428
101569,59,16,2,1,191
101569,60,17,2,1,1100
101587,1,29,3,4,6194
101587,2,99,3,1,2673
101587,3,99,3,1,2666
101587,4,99,3,1,315
101587,5,99,3,1,2351
101587,11,99,3,1,7
101587,12,99,3,3,3521
101587,19,99,3,1,542
101587,20,99,3,1,1809
101587,21,14,1,4,5154
101587,22,8,1,1,2119
101587,23,6,1,1,2119
101587,24,1,1,1,309
101587,25,99,1,1,1810
101587,32,11,1,3,3035
101587,39,2,1,1,512
101587,40,3,1,1,1298
101587,41,28,2,4,1040
101587,42,22,2,1,554
101587,43,20,2,1,547
101587,44,15,2,1,6
101587,45,99,2,1,541
101587,51,21,2,1,7
101587,52,25,2,3,486
101587,59,16,2,1,30
101587,60,17,2,1,511
101602,1,29,3,4,2130
101602,2,99,3,1,2130
101602,3,99,3,1,1122
101602,4,99,3,1,445
101602,5,99,3,1,677
101602,11,99,3,1,1008
101602,19,99,3,1,94
101602,20,99,3,1,583
101602,21,14,1,4,753
101602,22,8,1,1,753
101602,23,6,1,1,739
101602,24,1,1,1,381
101602,25,99,1,1,358
101602,31,7,1,1,14
101602,39,2,1,1,53
101602,40,3,1,1,305
101602,41,28,2,4,1377
101602,42,22,2,1,1377
101602,43,20,2,1,383
101602,44,15,2,1,64
101602,45,99,2,1,319
101602,51,21,2,1,994
101602,59,16,2,1,41
101602,60,17,2,1,278
101648,1,29,3,4,308
101648,2,99,3,1,308
101648,3,99,3,1,308
101648,4,99,3,1,173
101648,5,99,3,1,135
101648,19,99,3,1,14
101648,20,99,3,1,121
101648,21,14,1,4,308
101648,22,8,1,1,308
101648,23,6,1,1,308
101648,24,1,1,1,173
101648,25,99,1,1,135
101648,39,2,1,1,14
101648,40,3,1,1,121
101675,1,29,3,4,1151
101675,2,99,3,1,1151
101675,3,99,3,1,1151
101675,4,99,3,1,179
101675,5,99,3,1,972
101675,19,99,3,1,54
101675,20,99,3,1,918
101675,21,14,1,4,1106
101675,22,8,1,1,1106
101675,23,6,1,1,1106
101675,24,1,1,1,177
101675,25,99,1,1,929
101675,39,2,1,1,54
101675,40,3,1,1,875
101675,41,28,2,4,45
101675,42,22,2,1,45
101675,43,20,2,1,45
101675,44,15,2,1,2
101675,45,99,2,1,43
101675,60,17,2,1,43
101693,1,29,3,4,1911
101693,2,99,3,1,1688
101693,3,99,3,1,1079
101693,4,99,3,1,288
101693,5,99,3,1,791
101693,11,99,3,1,609
101693,12,99,3,3,223
101693,19,99,3,1,115
101693,20,99,3,1,676
101693,21,14,1,4,1170
101693,22,8,1,1,1070
101693,23,6,1,1,1065
101693,24,1,1,1,288
101693,25,99,1,1,777
101693,31,7,1,1,5
101693,32,11,1,3,100
101693,39,2,1,1,106
101693,40,3,1,1,671
101693,41,28,2,4,741
101693,42,22,2,1,618
101693,43,20,2,1,14
101693,45,99,2,1,14
101693,51,21,2,1,604
101693,52,25,2,3,123
101693,59,16,2,1,9
101693,60,17,2,1,5
101709,1,29,3,4,2942
101709,2,99,3,1,2545
101709,3,99,3,1,2087
101709,4,99,3,1,501
101709,5,99,3,1,1586
101709,11,99,3,1,458
101709,12,99,3,3,397
101709,19,99,3,1,150
101709,20,99,3,1,1436
101709,21,14,1,4,2087
101709,22,8,1,1,1936
101709,23,6,1,1,1935
101709,24,1,1,1,499
101709,25,99,1,1,1436
101709,31,7,1,1,1
101709,32,11,1,3,151
101709,39,2,1,1,138
101709,40,3,1,1,1298
101709,41,28,2,4,855
101709,42,22,2,1,609
101709,43,20,2,1,152
101709,44,15,2,1,2
101709,45,99,2,1,150
101709,51,21,2,1,457
101709,52,25,2,3,246
101709,59,16,2,1,12
101709,60,17,2,1,138
101736,1,29,3,4,4136
101736,2,99,3,1,4136
101736,3,99,3,1,1924
101736,4,99,3,1,591
101736,5,99,3,1,1333
101736,11,99,3,1,2212
101736,19,99,3,1,112
101736,20,99,3,1,1221
101736,21,14,1,4,936
101736,22,8,1,1,936
101736,23,6,1,1,929
101736,24,1,1,1,441
101736,25,99,1,1,488
101736,31,7,1,1,7
101736,39,2,1,1,56
101736,40,3,1,1,432
101736,41,28,2,4,3200
101736,42,22,2,1,3200
101736,43,20,2,1,995
101736,44,15,2,1,150
101736,45,99,2,1,845
101736,51,21,2,1,2205
101736,59,16,2,1,56
101736,60,17,2,1,789
101879,1,29,3,4,10059
101879,2,99,3,1,7451
101879,3,99,3,1,5468
101879,4,99,3,1,1104
101879,5,99,3,1,4364
101879,11,99,3,1,1983
101879,12,99,3,3,2608
101879,19,99,3,1,603
101879,20,99,3,1,3761
101879,21,14,1,4,5523
101879,22,8,1,1,4681
101879,23,6,1,1,4663
101879,24,1,1,1,1080
101879,25,99,1,1,3583
101879,31,7,1,1,18
101879,32,11,1,3,842
101879,39,2,1,1,434
101879,40,3,1,1,3149
101879,41,28,2,4,4536
101879,42,22,2,1,2770
101879,43,20,2,1,805
101879,44,15,2,1,24
101879,45,99,2,1,781
101879,51,21,2,1,1965
101879,52,25,2,3,1766
101879,59,16,2,1,169
101879,60,17,2,1,612
101897,1,29,3,4,2905
101897,2,99,3,1,2905
101897,3,99,3,1,1547
101897,4,99,3,1,491
101897,5,99,3,1,1056
101897,11,99,3,1,1358
101897,19,99,3,1,52
101897,20,99,3,1,1004
101897,21,14,1,4,878
101897,22,8,1,1,878
101897,23,6,1,1,842
101897,24,1,1,1,377
101897,25,99,1,1,465
101897,31,7,1,1,36
101897,39,2,1,1,26
101897,40,3,1,1,439
101897,41,28,2,4,2027
101897,42,22,2,1,2027
101897,43,20,2,1,705
101897,44,15,2,1,114
101897,45,99,2,1,591
101897,51,21,2,1,1322
101897,59,16,2,1,26
101897,60,17,2,1,565
101912,1,29,3,4,1319
101912,2,99,3,1,1279
101912,3,99,3,1,1253
101912,4,99,3,1,290
101912,5,99,3,1,963
101912,11,99,3,1,26
101912,12,99,3,3,40
101912,19,99,3,1,48
101912,20,99,3,1,915
101912,21,14,1,4,1219
101912,22,8,1,1,1196
101912,23,6,1,1,1196
101912,24,1,1,1,284
101912,25,99,1,1,912
101912,32,11,1,3,23
101912,39,2,1,1,47
101912,40,3,1,1,865
101912,41,28,2,4,100
101912,42,22,2,1,83
101912,43,20,2,1,57
101912,44,15,2,1,6
101912,45,99,2,1,51
101912,51,21,2,1,26
101912,52,25,2,3,17
101912,59,16,2,1,1
101912,60,17,2,1,50
101994,1,29,3,4,576
101994,2,99,3,1,576
101994,3,99,3,1,365
101994,4,99,3,1,86
101994,5,99,3,1,279
101994,11,99,3,1,211
101994,19,99,3,1,72
101994,20,99,3,1,207
101994,21,14,1,4,229
101994,22,8,1,1,229
101994,23,6,1,1,228
101994,24,1,1,1,79
101994,25,99,1,1,149
101994,31,7,1,1,1
101994,39,2,1,1,43
101994,40,3,1,1,106
101994,41,28,2,4,347
101994,42,22,2,1,347
101994,43,20,2,1,137
101994,44,15,2,1,7
101994,45,99,2,1,130
101994,51,21,2,1,210
101994,59,16,2,1,29
101994,60,17,2,1,101
102030,1,29,3,4,3568
102030,2,99,3,1,3568
102030,3,99,3,1,2100
102030,4,99,3,1,715
102030,5,99,3,1,1385
102030,11,99,3,1,1468
102030,19,99,3,1,247
102030,20,99,3,1,1138
102030,21,14,1,4,1141
102030,22,8,1,1,1141
102030,23,6,1,1,1133
102030,24,1,1,1,516
102030,25,99,1,1,617
102030,31,7,1,1,8
102030,39,2,1,1,138
102030,40,3,1,1,479
102030,41,28,2,4,2427
102030,42,22,2,1,2427
102030,43,20,2,1,967
102030,44,15,2,1,199
102030,45,99,2,1,768
102030,51,21,2,1,1460
102030,59,16,2,1,109
102030,60,17,2,1,659
102049,1,29,3,4,5791
102049,2,99,3,1,3832
102049,3,99,3,1,3828
102049,4,99,3,1,1080
102049,5,99,3,1,2748
102049,11,99,3,1,4
102049,12,99,3,3,1959
102049,19,99,3,1,83
102049,20,99,3,1,2665
102049,21,14,1,4,5554
102049,22,8,1,1,3778
102049,23,6,1,1,3777
102049,24,1,1,1,1080
102049,25,99,1,1,2697
102049,31,7,1,1,1
102049,32,11,1,3,1776
102049,39,2,1,1,83
102049,40,3,1,1,2614
102049,41,28,2,4,237
102049,42,22,2,1,54
102049,43,20,2,1,51
102049,45,99,2,1,51
102049,51,21,2,1,3
102049,52,25,2,3,183
102049,60,17,2,1,51
102058,1,29,3,4,60
102058,2,99,3,1,47
102058,3,99,3,1,34
